sales_genre.genre,sales_genre.global_sales,sales_genre.critic_score
Shooter,0.71,91
Sports,0.01,91
Misc,2.38,91
Role-Playing,0.51,91
Role-Playing,1.76,91
Racing,1.41,91
Shooter,3.0,91
Platform,0.89,91
Shooter,3.01,91
Sports,3.62,91
Simulation,0.01,91
Platform,3.71,91
Platform,0.33,91
Misc,0.57,91
Action,0.08,91
Sports,1.5,91
Action,1.14,91
Action,0.53,91
Sports,0.21,91
Sports,1.44,91
Shooter,0.53,91
Sports,1.72,91
Action,3.18,91
Platform,0.28,91
Action,4.23,91
Action,4.23,91
Simulation,0.42,91
Action,0.32,91
Sports,0.82,91
Action,1.23,91
Sports,0.56,91
Sports,2.62,90
Action,0.93,90
Action,1.06,90
Sports,0.03,90
Role-Playing,0.01,90
Simulation,1.9,90
Sports,1.57,90
Sports,2.11,90
Sports,0.09,90
Sports,3.9,90
Shooter,0.58,90
Platform,0.43,90
Role-Playing,2.08,90
Role-Playing,0.82,90
Sports,0.52,90
Strategy,1.08,90
Action,2.82,90
Shooter,3.35,90
Shooter,1.79,90
Sports,0.01,90
Sports,0.12,90
Simulation,0.08,90
Platform,1.63,90
Simulation,0.02,90
Racing,0.9,90
Action,5.08,90
Sports,1.34,90
Strategy,0.62,90
Sports,0.58,90
Strategy,1.68,90
Action,0.6,90
Simulation,0.29,90
Shooter,0.26,90
Sports,1.02,90
Platform,0.14,90
Platform,0.03,90
Sports,0.93,90
Sports,0.52,90
Sports,1.67,90
Strategy,1.2,90
Action,0.47,90
Sports,2.47,90
Action,5.16,90
Sports,0.2,90
Sports,1.95,90
Shooter,2.14,90
Action,0.28,90
Shooter,0.61,90
Role-Playing,3.94,90
Platform,3.64,90
Role-Playing,7.86,90
Role-Playing,0.2,90
Sports,0.7,90
Action,2.31,90
Strategy,0.6,90
Sports,0.23,90
Platform,0.08,90
Sports,2.62,90
Sports,0.59,90
Action,0.88,90
Sports,0.58,90
Sports,0.23,90
Sports,0.72,90
Action,5.26,90
Shooter,1.51,90
Shooter,1.54,90
Sports,2.62,90
Shooter,0.7,90
Racing,0.91,90
Strategy,0.39,90
Platform,1.01,90
Platform,0.3,90
Role-Playing,0.15,90
Platform,10.81,90
Puzzle,0.04,90
Racing,4.05,90
Sports,2.62,90
Action,0.93,90
Action,1.06,90
Sports,0.03,90
Role-Playing,0.01,90
Simulation,1.9,90
Sports,1.57,90
Sports,2.11,90
Sports,0.09,90
Sports,3.9,90
Shooter,0.58,90
Platform,0.43,90
Role-Playing,2.08,90
Role-Playing,0.82,90
Sports,0.52,90
Strategy,1.08,90
Action,2.82,90
Shooter,3.35,90
Shooter,1.79,90
Sports,0.01,90
Sports,0.12,90
Simulation,0.08,90
Platform,1.63,90
Simulation,0.02,90
Racing,0.9,90
Action,5.08,90
Sports,1.34,90
Strategy,0.62,90
Sports,0.58,90
Strategy,1.68,90
Action,0.6,90
Simulation,0.29,90
Shooter,0.26,90
Sports,1.02,90
Platform,0.14,90
Platform,0.03,90
Sports,0.93,90
Sports,0.52,90
Sports,1.67,90
Strategy,1.2,90
Action,0.47,90
Sports,2.47,90
Action,5.16,90
Sports,0.2,90
Sports,1.95,90
Shooter,2.14,90
Action,0.28,90
Shooter,0.61,90
Role-Playing,3.94,90
Platform,3.64,90
Role-Playing,7.86,90
Role-Playing,0.2,90
Sports,0.7,90
Action,2.31,90
Strategy,0.6,90
Sports,0.23,90
Platform,0.08,90
Sports,2.62,90
Sports,0.59,90
Action,0.88,90
Sports,0.58,90
Sports,0.23,90
Sports,0.72,90
Action,5.26,90
Shooter,1.51,90
Shooter,1.54,90
Sports,2.62,90
Shooter,0.7,90
Racing,0.91,90
Strategy,0.39,90
Platform,1.01,90
Platform,0.3,90
Role-Playing,0.15,90
Platform,10.81,90
Puzzle,0.04,90
Racing,4.05,90
Platform,0.12,89
Shooter,1.06,89
Action,2.34,89
Racing,0.05,89
Sports,1.63,89
Sports,0.15,89
Strategy,1.63,89
Strategy,0.09,89
Role-Playing,0.63,89
Fighting,5.74,89
Sports,5.07,89
Fighting,0.28,89
Role-Playing,0.97,89
Sports,0.02,89
Action,2.65,89
Role-Playing,5.21,89
Action,0.23,89
Shooter,0.36,89
Role-Playing,0.03,89
Action,5.82,89
Sports,1.06,89
Role-Playing,1.82,89
Strategy,0.65,89
Action,3.49,89
Action,1.53,89
Role-Playing,0.02,89
Racing,0.15,89
Role-Playing,2.02,89
Platform,0.58,89
Action,1.8,89
Shooter,0.02,89
Strategy,0.57,89
Shooter,1.37,89
Shooter,1.37,89
Shooter,0.05,89
Strategy,0.71,89
Action,2.09,89
Platform,29.8,89
Racing,0.5,89
Sports,1.22,89
Shooter,3.51,89
Sports,0.7,89
Role-Playing,0.63,89
Racing,0.34,89
Role-Playing,0.7,89
Shooter,1.22,89
Sports,0.62,89
Misc,1.71,89
Action,1.4,89
Sports,0.61,89
Sports,0.02,89
Shooter,0.69,89
Shooter,0.03,89
Role-Playing,0.2,89
Role-Playing,4.27,89
Platform,0.43,89
Sports,0.27,89
Shooter,1.42,89
Adventure,0.84,89
Role-Playing,1.65,89
Sports,0.68,89
Sports,0.68,89
Action,1.42,89
Shooter,0.93,89
Adventure,2.7,89
Shooter,0.02,89
Strategy,0.04,89
Sports,0.44,89
Action,2.06,89
Role-Playing,0.52,89
Role-Playing,2.01,89
Shooter,2.78,89
Racing,0.07,89
Sports,0.26,89
Role-Playing,0.07,89
Racing,2.11,89
Racing,2.78,89
Sports,0.54,89
Role-Playing,0.67,89
Action,1.28,89
Sports,2.79,89
Simulation,3.17,89
Adventure,3.17,89
Shooter,1.19,89
Shooter,0.45,89
Sports,0.16,89
Sports,0.12,89
Racing,11.66,89
Shooter,2.03,89
Sports,0.46,89
Role-Playing,0.25,89
Strategy,0.04,89
Racing,0.65,89
Shooter,3.05,89
Misc,1.55,89
Misc,1.3,89
Sports,0.15,89
Racing,0.53,89
Sports,0.32,89
Sports,1.05,89
Sports,0.21,89
Shooter,3.97,89
Strategy,0.26,89
Role-Playing,0.99,89
Shooter,0.75,89
Platform,0.12,89
Shooter,1.06,89
Action,2.34,89
Racing,0.05,89
Sports,1.63,89
Sports,0.15,89
Strategy,1.63,89
Strategy,0.09,89
Role-Playing,0.63,89
Fighting,5.74,89
Sports,5.07,89
Fighting,0.28,89
Role-Playing,0.97,89
Sports,0.02,89
Action,2.65,89
Role-Playing,5.21,89
Action,0.23,89
Shooter,0.36,89
Role-Playing,0.03,89
Action,5.82,89
Sports,1.06,89
Role-Playing,1.82,89
Strategy,0.65,89
Action,3.49,89
Action,1.53,89
Role-Playing,0.02,89
Racing,0.15,89
Role-Playing,2.02,89
Platform,0.58,89
Action,1.8,89
Shooter,0.02,89
Strategy,0.57,89
Shooter,1.37,89
Shooter,1.37,89
Shooter,0.05,89
Strategy,0.71,89
Action,2.09,89
Platform,29.8,89
Racing,0.5,89
Sports,1.22,89
Shooter,3.51,89
Sports,0.7,89
Role-Playing,0.63,89
Racing,0.34,89
Role-Playing,0.7,89
Shooter,1.22,89
Sports,0.62,89
Misc,1.71,89
Action,1.4,89
Sports,0.61,89
Sports,0.02,89
Shooter,0.69,89
Shooter,0.03,89
Role-Playing,0.2,89
Role-Playing,4.27,89
Platform,0.43,89
Sports,0.27,89
Shooter,1.42,89
Adventure,0.84,89
Role-Playing,1.65,89
Sports,0.68,89
Sports,0.68,89
Action,1.42,89
Shooter,0.93,89
Adventure,2.7,89
Shooter,0.02,89
Strategy,0.04,89
Sports,0.44,89
Action,2.06,89
Role-Playing,0.52,89
Role-Playing,2.01,89
Shooter,2.78,89
Racing,0.07,89
Sports,0.26,89
Role-Playing,0.07,89
Racing,2.11,89
Racing,2.78,89
Sports,0.54,89
Role-Playing,0.67,89
Action,1.28,89
Sports,2.79,89
Simulation,3.17,89
Adventure,3.17,89
Shooter,1.19,89
Shooter,0.45,89
Sports,0.16,89
Sports,0.12,89
Racing,11.66,89
Shooter,2.03,89
Sports,0.46,89
Role-Playing,0.25,89
Strategy,0.04,89
Racing,0.65,89
Shooter,3.05,89
Misc,1.55,89
Misc,1.3,89
Sports,0.15,89
Racing,0.53,89
Sports,0.32,89
Sports,1.05,89
Sports,0.21,89
Shooter,3.97,89
Strategy,0.26,89
Role-Playing,0.99,89
Shooter,0.75,89
Platform,2.26,88
Racing,1.03,88
Fighting,0.6,88
Shooter,3.47,88
Shooter,1.54,88
Strategy,1.54,88
Sports,0.59,88
Sports,1.62,88
Sports,0.01,88
Misc,0.62,88
Sports,1.64,88
Sports,0.57,88
Sports,3.52,88
Sports,0.63,88
Fighting,1.52,88
Sports,0.63,88
Shooter,6.83,88
Platform,3.21,88
Action,0.64,88
Shooter,0.64,88
Sports,0.56,88
Sports,3.4,88
Racing,3.12,88
Racing,7.09,88
Platform,0.54,88
Shooter,0.66,88
Adventure,0.15,88
Sports,0.66,88
Sports,0.54,88
Action,1.71,88
Shooter,13.32,88
Sports,1.44,88
Action,0.21,88
Strategy,0.53,88
Strategy,0.14,88
Action,3.71,88
Action,0.22,88
Sports,0.14,88
Sports,3.0,88
Racing,1.4,88
Sports,0.5,88
Sports,1.39,88
Sports,0.22,88
Role-Playing,0.5,88
Puzzle,0.03,88
Shooter,2.95,88
Role-Playing,0.13,88
Platform,1.81,88
Racing,1.35,88
Sports,0.73,88
Strategy,0.23,88
Fighting,3.87,88
Shooter,1.34,88
Puzzle,0.23,88
Adventure,0.03,88
Shooter,0.24,88
Racing,0.24,88
Platform,0.12,88
Sports,1.88,88
Strategy,0.25,88
Action,0.59,88
Racing,4.79,88
Shooter,1.92,88
Action,7.69,88
Puzzle,0.25,88
Shooter,4.08,88
Role-Playing,0.78,88
Sports,0.11,88
Adventure,0.26,88
Shooter,1.95,88
Shooter,14.73,88
Sports,0.44,88
Platform,1.25,88
Action,2.0,88
Shooter,0.44,88
Sports,0.43,88
Sports,0.43,88
Action,0.04,88
Role-Playing,4.22,88
Sports,0.42,88
Sports,0.42,88
Sports,0.85,88
Racing,2.06,88
Strategy,0.05,88
Fighting,0.87,88
Action,8.16,88
Simulation,0.87,88
Adventure,1.18,88
Platform,0.1,88
Shooter,12.63,88
Strategy,0.1,88
Sports,1.16,88
Role-Playing,1.16,88
Role-Playing,5.14,88
Sports,0.29,88
Action,0.9,88
Action,1.14,88
Sports,0.06,88
Misc,1.12,88
Simulation,9.16,88
Shooter,0.08,88
Shooter,0.38,88
Shooter,2.2,88
Racing,2.2,88
Action,0.96,88
Racing,1.08,88
Shooter,0.96,88
Role-Playing,0.32,88
Strategy,0.97,88
Action,4.92,88
Sports,1.07,88
Sports,4.91,88
Sports,0.33,88
Platform,0.99,88
Simulation,0.07,88
Sports,0.33,88
Platform,2.26,88
Racing,1.03,88
Fighting,0.6,88
Shooter,3.47,88
Shooter,1.54,88
Strategy,1.54,88
Sports,0.59,88
Sports,1.62,88
Sports,0.01,88
Misc,0.62,88
Sports,1.64,88
Sports,0.57,88
Sports,3.52,88
Sports,0.63,88
Fighting,1.52,88
Sports,0.63,88
Shooter,6.83,88
Platform,3.21,88
Action,0.64,88
Shooter,0.64,88
Sports,0.56,88
Sports,3.4,88
Racing,3.12,88
Racing,7.09,88
Platform,0.54,88
Shooter,0.66,88
Adventure,0.15,88
Sports,0.66,88
Sports,0.54,88
Action,1.71,88
Shooter,13.32,88
Sports,1.44,88
Action,0.21,88
Strategy,0.53,88
Strategy,0.14,88
Action,3.71,88
Action,0.22,88
Sports,0.14,88
Sports,3.0,88
Racing,1.4,88
Sports,0.5,88
Sports,1.39,88
Sports,0.22,88
Role-Playing,0.5,88
Puzzle,0.03,88
Shooter,2.95,88
Role-Playing,0.13,88
Platform,1.81,88
Racing,1.35,88
Sports,0.73,88
Strategy,0.23,88
Fighting,3.87,88
Shooter,1.34,88
Puzzle,0.23,88
Adventure,0.03,88
Shooter,0.24,88
Racing,0.24,88
Platform,0.12,88
Sports,1.88,88
Strategy,0.25,88
Action,0.59,88
Racing,4.79,88
Shooter,1.92,88
Action,7.69,88
Puzzle,0.25,88
Shooter,4.08,88
Role-Playing,0.78,88
Sports,0.11,88
Adventure,0.26,88
Shooter,1.95,88
Shooter,14.73,88
Sports,0.44,88
Platform,1.25,88
Action,2.0,88
Shooter,0.44,88
Sports,0.43,88
Sports,0.43,88
Action,0.04,88
Role-Playing,4.22,88
Sports,0.42,88
Sports,0.42,88
Sports,0.85,88
Racing,2.06,88
Strategy,0.05,88
Fighting,0.87,88
Action,8.16,88
Simulation,0.87,88
Adventure,1.18,88
Platform,0.1,88
Shooter,12.63,88
Strategy,0.1,88
Sports,1.16,88
Role-Playing,1.16,88
Role-Playing,5.14,88
Sports,0.29,88
Action,0.9,88
Action,1.14,88
Sports,0.06,88
Misc,1.12,88
Simulation,9.16,88
Shooter,0.08,88
Shooter,0.38,88
Shooter,2.2,88
Racing,2.2,88
Action,0.96,88
Racing,1.08,88
Shooter,0.96,88
Role-Playing,0.32,88
Strategy,0.97,88
Action,4.92,88
Sports,1.07,88
Sports,4.91,88
Sports,0.33,88
Platform,0.99,88
Simulation,0.07,88
Sports,0.33,88
Role-Playing,0.02,87
Racing,1.06,87
Action,0.94,87
Sports,0.24,87
Racing,0.99,87
Shooter,9.71,87
Sports,0.79,87
Shooter,0.43,87
Racing,0.04,87
Action,0.48,87
Role-Playing,2.13,87
Role-Playing,1.24,87
Strategy,1.11,87
Puzzle,1.52,87
Role-Playing,0.23,87
Sports,0.25,87
Platform,0.26,87
Sports,0.07,87
Sports,3.01,87
Shooter,0.6,87
Fighting,1.77,87
Racing,0.57,87
Sports,1.54,87
Fighting,0.41,87
Action,1.99,87
Platform,0.78,87
Role-Playing,0.23,87
Racing,0.72,87
Sports,0.27,87
Action,1.21,87
Action,1.18,87
Sports,0.54,87
Shooter,0.29,87
Sports,0.02,87
Role-Playing,1.41,87
Sports,2.58,87
Action,1.25,87
Adventure,0.61,87
Role-Playing,0.39,87
Action,3.13,87
Platform,6.44,87
Simulation,0.26,87
Racing,0.1,87
Sports,0.05,87
Sports,0.32,87
Racing,1.41,87
Shooter,2.46,87
Fighting,1.4,87
Shooter,2.94,87
Strategy,0.05,87
Shooter,0.72,87
Sports,1.67,87
Sports,0.18,87
Puzzle,1.46,87
Role-Playing,0.33,87
Fighting,0.57,87
Action,3.31,87
Simulation,1.13,87
Action,0.95,87
Strategy,0.03,87
Racing,1.1,87
Sports,0.92,87
Shooter,0.02,87
Role-Playing,5.78,87
Shooter,0.1,87
Adventure,3.03,87
Role-Playing,7.16,87
Role-Playing,4.33,87
Racing,0.09,87
Sports,0.97,87
Shooter,1.85,87
Strategy,0.05,87
Simulation,3.15,87
Role-Playing,2.25,87
Role-Playing,1.67,87
Action,3.95,87
Shooter,14.61,87
Racing,0.8,87
Sports,2.52,87
Racing,0.01,87
Role-Playing,0.53,87
Action,1.35,87
Platform,2.78,87
Shooter,0.32,87
Sports,1.94,87
Role-Playing,0.2,87
Fighting,0.35,87
Misc,0.32,87
Platform,2.54,87
Shooter,2.25,87
Racing,1.94,87
Sports,0.74,87
Misc,0.36,87
Strategy,0.04,87
Misc,0.12,87
Strategy,0.29,87
Sports,0.4,87
Misc,0.76,87
Action,0.47,87
Racing,1.8,87
Sports,1.7,87
Role-Playing,1.06,87
Platform,0.14,87
Role-Playing,0.96,87
Action,0.62,87
Fighting,0.17,87
Action,0.52,87
Platform,1.0,87
Action,6.27,87
Sports,1.84,87
Sports,3.88,87
Racing,0.2,87
Role-Playing,2.86,87
Platform,28.32,87
Platform,2.24,87
Racing,0.87,87
Shooter,0.57,87
Racing,0.27,87
Role-Playing,0.02,87
Racing,1.06,87
Action,0.94,87
Sports,0.24,87
Racing,0.99,87
Shooter,9.71,87
Sports,0.79,87
Shooter,0.43,87
Racing,0.04,87
Action,0.48,87
Role-Playing,2.13,87
Role-Playing,1.24,87
Strategy,1.11,87
Puzzle,1.52,87
Role-Playing,0.23,87
Sports,0.25,87
Platform,0.26,87
Sports,0.07,87
Sports,3.01,87
Shooter,0.6,87
Fighting,1.77,87
Racing,0.57,87
Sports,1.54,87
Fighting,0.41,87
Action,1.99,87
Platform,0.78,87
Role-Playing,0.23,87
Racing,0.72,87
Sports,0.27,87
Action,1.21,87
Action,1.18,87
Sports,0.54,87
Shooter,0.29,87
Sports,0.02,87
Role-Playing,1.41,87
Sports,2.58,87
Action,1.25,87
Adventure,0.61,87
Role-Playing,0.39,87
Action,3.13,87
Platform,6.44,87
Simulation,0.26,87
Racing,0.1,87
Sports,0.05,87
Sports,0.32,87
Racing,1.41,87
Shooter,2.46,87
Fighting,1.4,87
Shooter,2.94,87
Strategy,0.05,87
Shooter,0.72,87
Sports,1.67,87
Sports,0.18,87
Puzzle,1.46,87
Role-Playing,0.33,87
Fighting,0.57,87
Action,3.31,87
Simulation,1.13,87
Action,0.95,87
Strategy,0.03,87
Racing,1.1,87
Sports,0.92,87
Shooter,0.02,87
Role-Playing,5.78,87
Shooter,0.1,87
Adventure,3.03,87
Role-Playing,7.16,87
Role-Playing,4.33,87
Racing,0.09,87
Sports,0.97,87
Shooter,1.85,87
Strategy,0.05,87
Simulation,3.15,87
Role-Playing,2.25,87
Role-Playing,1.67,87
Action,3.95,87
Shooter,14.61,87
Racing,0.8,87
Sports,2.52,87
Racing,0.01,87
Role-Playing,0.53,87
Action,1.35,87
Platform,2.78,87
Shooter,0.32,87
Sports,1.94,87
Role-Playing,0.2,87
Fighting,0.35,87
Misc,0.32,87
Platform,2.54,87
Shooter,2.25,87
Racing,1.94,87
Sports,0.74,87
Misc,0.36,87
Strategy,0.04,87
Misc,0.12,87
Strategy,0.29,87
